Query Paper,Rank,Matched Paper,Overall Score,SBERT Score,Jaccard Score,BM25 Score,Num Chunks
0706.3359_v1,1,1710.01791_v1,0.7016082406044006,0.7016082406044006,0.16279069767441862,-7798.910525589102,2
0706.3359_v1,2,1710.01791_v3,0.7016082406044006,0.7016082406044006,0.16279069767441862,-7851.36957156037,2
0706.3359_v1,3,0812.4512_v3,0.6175650358200073,0.6175650358200073,0.16279069767441862,-8657.614201639048,2
0706.3359_v1,4,0812.4512_v1,0.6100093126296997,0.6100093126296997,0.1658291457286432,-8698.195344119506,2
0706.3359_v1,5,1206.1407_v1,0.6048041582107544,0.6048041582107544,0.1388888888888889,-8886.721976983628,2
0902.0948_v1,1,0902.0948_v2,1.0000001192092896,1.0000001192092896,1.0,-6829.764301758666,2
0902.0948_v1,2,1404.5346_v1,0.5444986820220947,0.5444986820220947,0.12631578947368421,-8415.378397259761,2
0902.0948_v1,3,1206.1407_v2,0.5422365069389343,0.5422365069389343,0.12,-7976.9190575034845,2
0902.0948_v1,4,1401.8048_v1,0.5391801595687866,0.5391801595687866,0.12690355329949238,-4479.715838627419,2
0902.0948_v1,5,0812.4512_v3,0.5281053185462952,0.5281053185462952,0.13793103448275862,-7805.325306874966,2
1108.4417_v2,1,1108.4417_v1,1.0000001192092896,1.0000001192092896,1.0,-5406.227672088242,2
1108.4417_v2,2,1404.5346_v1,0.5628535151481628,0.5628535151481628,0.16580310880829016,-10092.987454941107,2
1108.4417_v2,3,1004.0616_v1,0.5410009622573853,0.5410009622573853,0.13297872340425532,-8796.460616711916,2
1108.4417_v2,4,0812.4512_v3,0.5261412858963013,0.5261412858963013,0.1414141414141414,-9216.896257602915,2
1108.4417_v2,5,1710.01791_v1,0.5136783123016357,0.5136783123016357,0.13636363636363635,-8417.728731521354,2
1311.3167_v2,1,1311.3167_v1,1.0000001192092896,1.0000001192092896,1.0,-5188.4401723034825,2
1311.3167_v2,2,0812.4512_v1,0.6716866493225098,0.6716866493225098,0.14795918367346939,-8070.997817540752,2
1311.3167_v2,3,1610.09758_v1,0.5884578824043274,0.5884578824043274,0.1437125748502994,-7870.369408495362,2
1311.3167_v2,4,1610.09758_v2,0.5884578824043274,0.5884578824043274,0.1388888888888889,-7892.874354704584,2
1311.3167_v2,5,0812.4512_v3,0.5833078622817993,0.5833078622817993,0.14285714285714285,-8066.372172033348,2
1506.04293_v3,1,1506.04293_v1,1.0000001192092896,1.0000001192092896,1.0,-6738.048170774416,2
1506.04293_v3,2,1710.01791_v1,0.6209335327148438,0.6209335327148438,0.1686046511627907,-7785.897386908387,2
1506.04293_v3,3,1710.01791_v3,0.6207409501075745,0.6207409501075745,0.1686046511627907,-7851.01094953578,2
1506.04293_v3,4,0812.4512_v1,0.6101366877555847,0.6101366877555847,0.1507537688442211,-8757.003850644373,2
1506.04293_v3,5,0812.4512_v3,0.6041131019592285,0.6041131019592285,0.13679245283018868,-8744.142740788113,2
1611.00592_v1,1,0812.4512_v3,0.6329889297485352,0.6329889297485352,0.15454545454545454,-4229.542067113179,2
1611.00592_v1,2,0812.4512_v1,0.5884978175163269,0.5884978175163269,0.14953271028037382,-4224.3147347286895,2
1611.00592_v1,3,1610.09758_v1,0.587915301322937,0.587915301322937,0.15789473684210525,-4256.655537509858,2
1611.00592_v1,4,1610.09758_v2,0.587915301322937,0.587915301322937,0.16299559471365638,-4269.392537373617,2
1611.00592_v1,5,1404.5346_v1,0.567795991897583,0.567795991897583,0.13692946058091288,-4514.335612422693,2
1805.11559_v1,1,1805.11559_v3,1.0000001192092896,1.0000001192092896,1.0,-5385.744395155755,2
1805.11559_v1,2,1004.0616_v1,0.5827367901802063,0.5827367901802063,0.14285714285714285,-5571.593006222146,2
1805.11559_v1,3,2006.03494_v1,0.5750214457511902,0.5750214457511902,0.16216216216216217,-6105.515633521876,2
1805.11559_v1,4,0812.4512_v3,0.5692656636238098,0.5692656636238098,0.1657754010695187,-5772.242203578316,2
1805.11559_v1,5,0812.4512_v1,0.5653868317604065,0.5653868317604065,0.1523809523809524,-5768.630560454443,2
2004.14192_v2,1,2004.14192_v1,1.0,1.0,1.0,-158.97303213244405,2
2004.14192_v2,2,2005.12336_v2,0.6925771236419678,0.6925771236419678,0.16080402010050251,-707.8565601869016,2
2004.14192_v2,3,2005.12336_v1,0.6873215436935425,0.6873215436935425,0.16080402010050251,-706.830858320381,2
2004.14192_v2,4,1610.08297_v2,0.6485387086868286,0.6485387086868286,0.16019417475728157,-1473.353866049199,2
2004.14192_v2,5,1610.08297_v1,0.6034092307090759,0.6034092307090759,0.16019417475728157,-1474.409525617889,2
2111.06514_v2,1,2111.06514_v1,1.0000001192092896,1.0000001192092896,1.0,-4862.061105464378,2
2111.06514_v2,2,2006.03494_v1,0.6153692007064819,0.6153692007064819,0.14864864864864866,-6651.663915484832,2
2111.06514_v2,3,2006.03494_v3,0.5931894183158875,0.5931894183158875,0.1348314606741573,-6671.543704555898,2
2111.06514_v2,4,1710.01791_v1,0.5823622941970825,0.5823622941970825,0.1641025641025641,-5736.856322825949,2
2111.06514_v2,5,1710.01791_v3,0.5823172926902771,0.5823172926902771,0.1641025641025641,-5792.484601072962,2
2303.02837_v1,1,2303.02837_v2,1.0,1.0,1.0,-4905.889151443746,2
2303.02837_v1,2,2202.03357_v1,0.5852060914039612,0.5852060914039612,0.14507772020725387,-4558.890043909056,2
2303.02837_v1,3,1004.0616_v1,0.5692205429077148,0.5692205429077148,0.15,-5800.763030480062,2
2303.02837_v1,4,0812.4512_v1,0.5205607414245605,0.5205607414245605,0.14285714285714285,-5995.147784882485,2
2303.02837_v1,5,0812.4512_v3,0.5205607414245605,0.5205607414245605,0.145,-5997.192811087998,2
